service_request_type,section,total_requests,requestswiinter,% Intersections,Description,Tip,Link,Timeline
Zoning Regulations Violations,Investigation Services,62273,444,0.71,"Report a property suspected of being used in violation of City zoning bylaws, such as illegal commercial use in a residential zone.",Provide as much detail as possible about the suspected violation to support the investigation.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvXuCAI&searchTerm=zoning,Initial Response: within ~10 days (investigation initiation)
Wrong Location / Time / Day,Waste Enforcement,21074,110,0.52,"Report a container placed out for collection at the wrong location, on the wrong day, or outside the scheduled window.","The complainant's name and phone number are required, location where the garbage can be found and the type of complaint, e.g., waste put out on the wrong day, dumping, etc.

The officer may contact the complainant if additional information is needed.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvWECAY&searchTerm=wrong%20location,Timeline Not Specified
Watermain-Possible Break,District Ops,31929,3760,11.78,"Report a suspected watermain break, such as water bubbling up through pavement, large puddles forming in dry conditions, or a noticeable loss of water pressure.","If water is flooding a road or property, call 311 directly rather than filing online to expedite the response.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cw7MCAQ&searchTerm=watermain,"Initial Response: ~2 hours
Repair / Action: ~16 hours depending on severity
Restoration / Completion: up to 24 months (in case of watermain repair)"
Water Service Line-Turn Off/Burst,District Ops,17332,23,0.13,Report an emergency water service line burst or a line that needs to be immediately shut off due to a plumbing failure.,"If water is flooding your property, turn off your interior shutoff valve immediately and call 311 directly.",https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-water/toronto-water-customer-service-standards/,"Initial Response: ~2 hours
Repair / Action: depends on ownership (City vs private)"
Water Service Line-No Water,District Ops,27690,31,0.11,Report a complete loss of water service at your property when there is no known planned shutoff or watermain work in your area.,Check if neighbours are also affected as a watermain issue may already be under investigation.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cwXDCAY&searchTerm=water%20service%20line,Initial Response: ~4 hours
Water Service Line-Leaking,District Ops,22460,737,3.28,Report a leak on the water service line connecting the City watermain to your property.,Turn off your interior water shutoff valve if the leak is significant to minimize damage while you wait.,https://www.toronto.ca/city-government/accountability-operations-customer-service/city-administration/staff-directory-divisions-and-customer-service/toronto-water/toronto-water-customer-service-standards/,"Initial Response: ~4 hours
Repair / Action: 5 business days (standard) or ~24 hours (emergency)
Restoration / Completion: up to 24 months (in case of service line repair)"
Water Service Line-Check Water Service Box,District Ops,29745,102,0.34,Request for Toronto Water to check or repair a water service box on the sidewalk or front lawn. Note: A water service box is a round brown valve on the sidewalk or front lawn. Service boxes give the City access to shut off water to your home,"This is a maintenance check. If you have no water or a suspected leak, use the appropriate service request instead.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvZiCAI&searchTerm=water%20service%20line,Timeline Not Specified
Waste Or Illegal Dumping On Private Property,Investigation Services,60634,447,0.74,"Report a concern about the accumulation of waste, litter, standing water or witnessed illegal dumping on private property (e.g. derelict vehicles, accumulation of refuse, stagnant water in unused pools).",Provide the property address and describe the waste type to help bylaw officers assess the violation.,https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvXrCAI&searchTerm=illegal%20dumping%20on%20private%20property,"Initial Response: within ~10 days (investigation initiation)
Repair / Action: enforcement and cleanup order"
Walkway Damaged Or Uneven,Road Operations,5986,1132,18.91,"Report a damaged, cracked, heaved, or uneven sidewalk, walkway, or sidewalk bay that poses a tripping hazard. City inspectors monitor sidewalk conditions during road inspections and track sections in need of repair — priority is given to the bays in greatest need.","Report minor damage online; for serious hazards such as a large raised slab, note whether it is a tripping risk so staff can prioritize it accordingly.",https://www.toronto.ca/services-payments/streets-parking-transportation/road-maintenance/road-sidewalk-repair/,Timeline Not Specified
Unreasonable And Persistent Noise,Bylaw Enforcement,9480,699,7.37,"Report noise or sound-induced vibration that is unreasonable and persistent — such as continuous building alarms, equipment noise, or neighbours dropping heavy objects at unreasonable hours. This covers any noise heard or felt for 10 minutes or more, or intermittently heard or felt for a total of 10 minutes within one hour. Typical household sounds are exempt","Keep a log of dates, times, and duration of each noise occurrence — bylaw officers may ask for this record to support an investigation or court proceeding.",https://www.toronto.ca/home/311-toronto-at-your-service/find-service-information/article/?kb=kA06g000001cvWkCAI&searchTerm=unreasonable%20noise,"Initial Response: ~24 hours (priority-based)
Repair / Action: investigation and enforcement"
